Year,Team,Revenue,Expense,Payroll,Operating Income,NHL_Points,NHL Win Per,Population,Adjusted_Rev,Adjusted_Exp,Adjusted_Payroll,Adjusted_Payroll_million,Adjusted_Income
2019,Los Angeles Kings,203.00,149.00,78886587.00,54.00,71.00,0.38,13214799.00,187.98,137.97,73048190.70,73.05,50.00
2019,Minnesota Wild,149.00,138.00,78253038.00,11.00,83.00,0.45,3640043.00,137.97,127.79,72461530.66,72.46,10.19
2019,Montreal Canadiens,243.00,137.00,75910983.00,106.00,96.00,0.54,4334308.00,225.02,126.86,70292811.15,70.29,98.15
2019,Nashville Predators,135.00,146.00,72393629.00,-11.00,100.00,0.57,1934317.00,125.01,135.19,67035776.52,67.04,-10.19
2019,New Jersey Devils,181.00,156.00,75893785.00,25.00,72.00,0.38,19216182.00,167.60,144.45,70276885.97,70.28,23.15
2019,New York Islanders,115.00,118.50,62687864.00,-3.50,103.00,0.59,19216182.00,106.49,109.73,58048335.19,58.05,-3.24
2019,New York Rangers,270.00,147.00,68690179.00,123.00,78.00,0.39,19216182.00,250.02,136.12,63606418.85,63.61,113.90
2019,Ottawa Senators,127.00,123.40,74426749.00,3.60,64.00,0.35,1438015.00,117.60,114.27,68918425.31,68.92,3.33
2019,Philadelphia Flyers,187.00,147.00,69551644.00,40.00,82.00,0.45,6102434.00,173.16,136.12,64404126.83,64.40,37.04
2019,Pittsburgh Penguins,184.00,149.00,73406155.00,35.00,100.00,0.54,2317600.00,170.38,137.97,67973365.47,67.97,32.41
2019,San Jose Sharks,164.00,154.00,,10.00,101.00,0.56,1990660.00,151.86,142.60,,0.00,9.26
2019,St. Louis Blues,171.00,151.00,80295756.00,20.00,99.00,0.55,2803228.00,158.34,139.82,74353067.10,74.35,18.52
2019,Tampa Bay Lightning,140.00,132.80,80074099.00,7.20,128.00,0.76,3194831.00,129.64,122.97,74147814.93,74.15,6.67
2019,Toronto Maple Leafs,243.00,142.00,78236228.00,101.00,100.00,0.56,6462898.00,225.02,131.49,72445964.77,72.45,93.52
2019,Vancouver Canucks,167.00,136.00,75871716.00,31.00,81.00,0.43,2709277.00,154.64,125.93,70256450.30,70.26,28.71
2019,Vegas Golden Knights,167.00,134.00,,33.00,,,2266715.00,154.64,124.08,,0.00,30.56
2019,Washington Capitals,180.00,142.00,71920528.00,38.00,104.00,0.59,6280487.00,166.68,131.49,66597689.72,66.60,35.19
2019,Winnipeg Jets,127.00,134.70,81221768.00,-7.70,99.00,0.57,,117.60,124.73,75210544.95,75.21,-7.13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
