Year,Team,Revenue,Expense,Payroll,Operating Income,NHL Points,NHL Win Per,Population,Adjusted Rev,Adjusted Exp,Adjusted Payroll,Adjusted Payroll (Million),Adjusted Income
2016,Tampa Bay Lightning,$127,$124,"$69,287,653",$3.0,97,0.561,"3,048,963",$125.27,$122.31,"$68,343,262.29",$68.3433,2.95911
2016,Toronto Maple Leafs,$186,$118,"$67,746,401",$68.0,69,0.354,"6,125,013",$183.46,$116.39,"$66,823,017.55",$66.8230,67.07316
2016,Vancouver Canucks,$146,$116,"$66,693,645",$29.6,75,0.378,"2,582,202",$144.01,$114.81,"$65,784,610.62",$65.7846,29.196552
2016,Washington Capitals,$136,$124,"$70,403,880",$11.7,120,0.683,"6,149,301",$134.15,$122.61,"$69,444,275.12",$69.4443,11.540529
2016,Winnipeg Jets,$112,$101,"$52,338,400",$11.4,78,0.427,#N/A,$110.47,$99.23,"$51,625,027.61",$51.6250,11.244618
2017,Anaheim Ducks,$136 ,$139 ,"$73,254,459",($2.60),105,0.561,"13,278,000",$131.35,$133.86,"$70,749,156.50",$70.7492,-2.51108
2017,Arizona Coyotes,$96 ,$107 ,"$62,576,227",($11),#N/A,#N/A,"4,758,748",$92.72,$103.34,"$60,436,120.04",$60.4361,-10.6238
2017,Boston Bruins,$176 ,$143 ,"$74,772,546",$33 ,95,0.537,"4,841,772",$169.98,$138.11,"$72,215,324.93",$72.2153,31.8714
2017,Buffalo Sabres,$120 ,$133 ,"$72,465,004",($13),78,0.402,"1,129,882",$115.90,$128.45,"$69,986,700.86",$69.9867,-12.5554
2017,Calgary Flames,$129 ,$124 ,"$74,332,972",$5.40 ,94,0.549,"1,458,336",$124.59,$119.37,"$71,790,784.36",$71.7908,5.21532
2017,Carolina Hurricanes,$108 ,$105 ,"$55,070,883",$3 ,87,0.439,"1,334,235",$104.31,$101.41,"$53,187,458.80",$53.1875,2.8974
2017,Chicago Blackhawks,$183 ,$135 ,"$70,593,221",$48 ,109,0.610,"9,514,113",$176.74,$130.38,"$68,178,932.84",$68.1789,46.3584
2017,Colorado Avalanche,$113 ,$113 ,"$69,968,694",($0),48,0.268,"2,891,776",$109.14,$109.52,"$67,575,764.67",$67.5758,-0.38632
2017,Columbus Blue Jackets,$106 ,$111 ,"$67,783,208",($5.30),108,0.610,"2,082,581",$102.37,$107.49,"$65,465,022.29",$65.4650,-5.11874
2017,Dallas Stars,$140 ,$119 ,"$67,509,048",$21 ,79,0.415,"7,337,097",$135.21,$114.93,"$65,200,238.56",$65.2002,20.2818
2017,Detroit Red Wings,$141 ,$136 ,"$65,184,491",$5.40 ,79,0.402,"4,321,593",$136.18,$130.96,"$62,955,181.41",$62.9552,5.21532
2017,Edmonton Oilers,$151 ,$127 ,"$69,680,520",$24 ,103,0.573,"1,390,149",$145.84,$122.66,"$67,297,446.22",$67.2974,23.1792
2017,Florida Panthers,$100 ,$111 ,"$64,675,437",($11),81,0.427,"6,118,155",$96.58,$107.20,"$62,463,537.05",$62.4635,-10.6238
2017,Los Angeles Kings,$175 ,$143 ,"$75,503,203",$32 ,86,0.476,"13,278,000",$169.02,$138.11,"$72,920,993.46",$72.9210,30.9056
2017,Minnesota Wild,$139 ,$134 ,"$75,007,092",$4.80 ,106,0.598,"3,575,699",$134.25,$129.61,"$72,441,849.45",$72.4418,4.63584
2017,Montreal Canadiens,$236 ,$144 ,"$74,453,080",$92 ,103,0.573,"4,193,207",$227.93,$139.08,"$71,906,784.66",$71.9068,88.8536
2017,Nashville Predators,$141 ,$127 ,"$70,791,103",$14 ,94,0.500,"1,874,515",$136.18,$122.66,"$68,370,047.28",$68.3700,13.5212
2017,New Jersey Devils,$137 ,$125 ,"$63,384,193",$12 ,70,0.341,"19,322,607",$132.31,$120.73,"$61,216,453.60",$61.2165,11.5896
2017,New York Islanders,$110 ,$119 ,"$71,541,919",($8.60),94,0.500,"19,322,607",$106.24,$114.54,"$69,095,185.37",$69.0952,-8.30588
2017,New York Rangers,$246 ,$152 ,"$73,375,352",$94 ,102,0.585,"19,322,607",$237.59,$146.80,"$70,865,914.96",$70.8659,90.7852
2017,Ottawa Senators,$135 ,$125 ,"$75,947,622",$10 ,98,0.537,"1,384,897",$130.38,$120.73,"$73,350,213.33",$73.3502,9.658
2017,Philadelphia Flyers,$170 ,$144 ,"$74,563,822",$26 ,88,0.476,"6,078,522",$164.19,$139.08,"$72,013,739.29",$72.0137,25.1108
2017,Pittsburgh Penguins,$196 ,$155 ,"$70,347,288",$41 ,111,0.610,"2,329,004",$189.30,$149.70,"$67,941,410.75",$67.9414,39.5978
2017,San Jose Sharks,$137 ,$128 ,"$73,385,869",$8.60 ,99,0.561,"1,992,674",$132.31,$124.01,"$70,876,072.28",$70.8761,8.30588
